Product ID,Phone ID,phone_screen_size,phone_chip,phone_front_cam,phone_behind_cam,phone_battery,phone_system,phone_charging_port,phone_sim_card,phone_nfc,phone_ear_phone,phone_memory_card,phone_desc
pdt_7,ip13,6.1 inch OLED Super Retina XDR,Apple A15 Bionic,12 MP,"12 MP + 12 MP (wide+ultrawide)",3240,iOS 15 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 13 với hiệu năng cao và camera kép
pdt_8,ip13pm,6.7 inch OLED Super Retina XDR ProMotion 120Hz,Apple A15 Bionic (5-core GPU),12 MP,"12 MP + 12 MP + 12 MP (wide, tele, ultrawide)",4352,iOS 15 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 13 Pro Max với màn ProMotion 120Hz
pdt_9,ip14,6.1 inch OLED Super Retina XDR,Apple A15 Bionic (5-core GPU),12 MP,"12 MP + 12 MP (wide+ultrawide)",3279,iOS 16 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 14 với crash detection SOS vệ tinh
pdt_10,ip14pm,6.7 inch OLED Super Retina XDR ProMotion 120Hz,Apple A16 Bionic,12 MP,"48 MP (wide) + 12 MP (ultrawide) + 12 MP (tele)",4323,iOS 16 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 14 Pro Max với Dynamic Island Always-on
pdt_11,s23u,6.8 inch Dynamic AMOLED 2X,Snapdragon 8 Gen 2,12 MP,"200 MP + 10 MP (3x) + 10 MP (10x) + 12 MP",5000,Android 13 (One UI 5.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S23 Ultra với S Pen 120Hz
pdt_12,s23,6.1 inch Dynamic AMOLED 2X,Snapdragon 8 Gen 2,12 MP,"50 MP + 10 MP + 12 MP",3900,Android 13 (One UI 5.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S23 120Hz camera 50MP
pdt_13,zflip4,6.7 inch Dynamic AMOLED 2X,Snapdragon 8+ Gen 1,10 MP,"12 MP + 12 MP",3700,Android 12 (One UI 4.1.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy Z Flip 4 gập dọc 120Hz
pdt_14,a73,6.7 inch Super AMOLED+,Snapdragon 778G 5G,32 MP,"108 MP + 12 MP + 5 MP + 5 MP",5000,Android 12 (One UI 4.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Galaxy A73 5G màn 120Hz
pdt_15,a53,6.5 inch Super AMOLED,Exynos 1280,32 MP,"64 MP + 12 MP + 5 MP + 5 MP",5000,Android 12 (One UI 4.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Galaxy A53 5G 120Hz
pdt_16,s22,6.1 inch Dynamic AMOLED 2X,Snapdragon 8 Gen 1,10 MP,"50 MP + 10 MP + 12 MP",3700,Android 12 (One UI 4.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S22 120Hz OIS
